-1,667,-1,692,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
667,-1,339,590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,339,-1,593,865,679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
692,590,593,-1,392,-1,994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,865,392,-1,351,683,533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,679,-1,351,-1,-1,720,571,747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,994,683,-1,-1,396,-1,-1,335,-1,624,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,,533,720,396,-1,463,-1,405,394,-1,453,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,571,-1,463,-1,226,-1,434,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,747,-1,-1,226,-1,-1,473,-1,-1,692,-1,-1,-1,823,-1
-1,-1,-1,-1,-1,-1,335,405,-1,-1,-1,-1,316,178,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,394,434,473,-1,-1,-1,381,333,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,624,-1,-1,-1,316,-1,-1,263,-1,564,426,311,-1,-1
-1,-1,-1,-1,-1,-1,-1,453,-1,-1,178,381,263,-1,435,-1,-1,501,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,692,-1,333,-1,435,-1,-1,-1,549,278,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,564,-1,-1,-1,188,401,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,426,-1,-1,188,-1,213,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,311,501,549,401,213,-1,642,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,823,-1,-1,-1,-1,278,-1,-1,642,-1,331
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,331,-1
